iter	RMSE
0	14.5463195
1	14.1529071
2	13.84014139
3	13.51058964
4	13.20787496
5	12.87774684
6	12.60852529
7	12.31089696
8	12.02183032
9	11.74206317
10	11.48630287
11	11.21221897
12	10.97803983
13	10.72991403
14	10.51219107
15	10.28897179
16	10.09320026
17	9.878408484
18	9.679654921
19	9.517026164
20	9.335428754
21	9.16261789
22	9.023327209
23	8.858519815
24	8.696706603
25	8.556349956
26	8.412069802
27	8.302326245
28	8.174218668
29	8.056516654
30	7.931388357
31	7.816389911
32	7.726172117
33	7.614549506
34	7.505540383
35	7.409175277
36	7.326266145
37	7.247110482
38	7.163414533
39	7.08150012
40	7.004499244
41	6.933907502
42	6.867627002
43	6.805705121
44	6.732196834
45	6.663294609
46	6.599543772
47	6.540815273
48	6.478029471
49	6.420438435
50	6.376989405
51	6.329392456
52	6.276430227
53	6.241535753
54	6.194398992
55	6.148578742
56	6.109457011
57	6.068380733
58	6.026045877
59	5.992075869
60	5.958560626
61	5.928396964
62	5.905360426
63	5.87004868
64	5.839402573
65	5.814709296
66	5.785484009
67	5.765532323
68	5.740243988
69	5.720277173
70	5.692384312
71	5.672213544
72	5.648876911
73	5.630992731
74	5.609034003
75	5.590038139
76	5.56987413
77	5.550361087
78	5.530415934
79	5.51393097
80	5.501064381
81	5.49136328
82	5.479255066
83	5.466555583
84	5.452476996
85	5.435934255
86	5.42628446
87	5.414797703
88	5.39941352
89	5.388211884
90	5.377679408
91	5.365362757
92	5.356326043
93	5.344455238
94	5.331739341
95	5.321455001
96	5.311452802
97	5.302883678
98	5.288530262
99	5.278908359
100	5.266717404
101	5.252550742
102	5.242605219
103	5.233807179
104	5.227289083
105	5.21773144
106	5.209833956
107	5.20267387
108	5.19255429
109	5.183681225
110	5.174739397
111	5.166767077
112	5.158158927
113	5.153008233
114	5.145752302
115	5.138618265
116	5.133122908
117	5.126604799
118	5.121953428
119	5.115788714
120	5.109930092
121	5.102447791
122	5.097117637
123	5.091370859
124	5.084723717
125	5.079199014
