iter	Passed	Remaining
0	275	275221
1	277	138402
2	278	92629
3	280	69845
4	281	56105
5	282	46877
6	284	40289
7	285	35371
8	286	31519
9	287	28475
10	288	25970
11	290	23891
12	291	22153
13	292	20632
14	293	19302
15	295	18143
16	296	17123
17	297	16230
18	298	15423
19	299	14686
20	301	14033
21	302	13441
22	303	12904
23	305	12420
24	307	11974
25	308	11554
26	310	11176
27	311	10813
28	312	10476
29	314	10165
30	317	9920
31	320	9695
32	322	9463
33	325	9246
34	326	9007
35	328	8790
36	330	8590
37	332	8408
38	333	8227
39	335	8050
40	336	7874
41	337	7704
42	339	7548
43	340	7400
44	342	7271
45	344	7147
46	346	7023
47	348	6902
48	349	6781
49	350	6664
50	352	6554
51	353	6444
52	354	6342
53	356	6243
54	357	6146
55	359	6056
56	360	5962
57	361	5873
58	362	5787
59	364	5706
60	365	5629
61	366	5549
62	367	5470
63	368	5394
64	370	5328
65	372	5268
66	373	5200
67	374	5138
68	376	5085
69	378	5027
70	380	4972
71	381	4919
72	383	4869
73	385	4821
74	386	4766
75	388	4719
76	390	4677
77	391	4628
78	393	4583
79	395	4549
80	396	4501
81	398	4457
82	399	4414
83	400	4371
84	402	4330
85	403	4293
86	405	4251
87	407	4221
88	409	4187
89	410	4153
90	412	4123
91	414	4093
92	416	4066
93	418	4033
94	420	4002
95	421	3970
96	422	3937
97	424	3904
98	425	3872
99	426	3842
100	428	3814
101	430	3787
102	431	3760
103	433	3736
104	435	3710
105	436	3683
106	438	3659
107	440	3635
108	441	3609
109	443	3586
110	444	3563
111	446	3541
112	448	3517
113	449	3496
114	451	3474
115	452	3449
116	453	3424
117	455	3406
118	457	3386
119	458	3363
120	459	3341
121	461	3322
122	464	3310
123	465	3286
124	466	3264
125	467	3241
126	469	3225
127	470	3203
128	471	3181
129	472	3160
130	473	3139
131	475	3123
132	476	3104
133	477	3083
134	477	3062
135	478	3042
136	479	3020
137	480	3001
138	481	2984
139	482	2965
140	483	2947
141	484	2930
142	486	2916
143	488	2901
144	489	2887
145	490	2871
146	491	2854
147	493	2843
148	495	2829
149	496	2816
150	499	2806
151	500	2792
152	502	2780
153	503	2764
154	504	2751
155	506	2738
156	507	2725
157	509	2715
158	512	2710
159	514	2699
160	516	2691
161	519	2685
162	521	2680
163	523	2670
164	525	2660
165	528	2657
166	530	2646
167	532	2636
168	533	2623
169	535	2613
170	536	2601
171	537	2589
172	540	2581
173	541	2570
174	542	2556
175	543	2546
176	544	2533
177	546	2525
178	547	2512
179	549	2501
180	551	2494
181	552	2483
182	554	2473
183	571	2534
184	573	2524
185	574	2514
186	575	2502
187	577	2492
188	578	2482
189	579	2471
190	580	2459
191	582	2449
192	583	2439
193	584	2429
194	586	2419
